zpid,streetAddress,city,latitude,longitude,bedrooms,bathrooms,price,yearBuilt,homeStatus,homeType,livingArea,lotSize,daysOnZillow,zestimate,rentZestimate,lastSoldPrice,dateSold,taxAssessedValue,hoaFee,propertyTaxRate
50049283,103 Baywood Pl,Chapel Hill,35.969063,-79.06466,3.0,2.0,548200,1979.0,OTHER,SINGLE_FAMILY,1923.0,39639.0,3490.0,548200.0,2660.0,237000.0,2015-09-04,300900.0,0.0,0.84
50051640,101 Chesley Ln,Chapel Hill,35.95739,-79.026405,5.0,5.0,1238300,1995.0,OTHER,SINGLE_FAMILY,5093.0,38332.0,2594.0,1238300.0,6330.0,735000.0,2018-02-16,739000.0,0.0,0.84
50035177,118 Oldham Pl,Chapel Hill,35.925983,-79.07321,4.0,4.0,901100,2000.0,OTHER,SINGLE_FAMILY,2661.0,18295.0,8008.0,901100.0,3645.0,439500.0,2003-04-22,538300.0,0.0,0.84
50036235,616 Bayberry Dr,Chapel Hill,35.88831,-79.04127,4.0,4.0,970900,1984.0,OTHER,SINGLE_FAMILY,3335.0,43560.0,2436.0,970900.0,3573.0,558000.0,2018-07-24,550800.0,0.0,0.84
50049809,121 Summerlin Dr,Chapel Hill,35.94852,-79.04977,3.0,2.0,519200,1983.0,OTHER,SINGLE_FAMILY,1702.0,11761.0,15243.0,519200.0,2464.0,75000.0,1983-07-01,302600.0,0.0,0.84
50039824,307 N Estes Dr,Chapel Hill,35.931988,-79.03968,4.0,3.0,686200,1956.0,OTHER,SINGLE_FAMILY,2054.0,19602.0,3086.0,686200.0,2411.0,320000.0,2016-10-12,334800.0,0.0,0.84
88951998,113 Hotelling Ct,Chapel Hill,35.92267,-79.04058,4.0,4.0,1143800,1989.0,OTHER,SINGLE_FAMILY,3816.0,35719.0,9246.0,1143800.0,5318.0,485000.0,1999-12-01,692800.0,0.0,0.84
89697018,1005 Kingswood Dr APT H,Chapel Hill,35.901627,-79.000275,2.0,2.0,300000,1991.0,RECENTLY_SOLD,CONDO,1020.0,,22.0,300000.0,1671.0,300000.0,2025-03-03,162961.0,250.0,0.72
63295715,206 McGregor Dr,Chapel Hill,35.945515,-79.0187,2.0,2.0,255800,1985.0,OTHER,CONDO,928.0,43560.0,1384.0,255800.0,1569.0,198000.0,2021-06-10,160800.0,0.0,0.84
50033950,104 Michaels Way,Chapel Hill,35.934948,-79.10103,4.0,4.0,995000,2001.0,SOLD,SINGLE_FAMILY,3407.0,16988.0,1071.0,1121800.0,3791.0,995000.0,2022-04-19,551500.0,96.0,0.84
